name,category,lat,long,img,description
Памятник Ф.Э. Дзержинскому,"historic,monuments_and_memorials,interesting_places,monuments",56.238445,43.461639,,
Дом В. И. Смирнова,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",56.314426,43.975361,,
Памятник Ленину,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",56.326092,43.959465,,
"Храм в честь иконы Божьей Матери "" Знамение""","religion,other_temples,interesting_places",55.392315,43.81094,,
Северная башня,"towers,architecture,interesting_places,other_towers",56.328777,43.998028,,
Никольская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",56.325672,44.001396,,
Ф. Э. Дзержинскому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",56.526371,43.554371,,
Дом архитектора,"cultural,museums,interesting_places,other_museums",56.329483,44.009949,,
Нижегородский государственный академический театр драмы им. М. Горького,"cultural,theatres_and_entertainments,interesting_places,music_venues",56.324169,44.001335,,
Успенская Церковь,"religion,churches,interesting_places,other_churches",55.326572,42.033401,,
Абабковский Николаевский Георгиевский женский монастырь,"religion,monasteries,interesting_places",56.040054,43.139896,,
Воскресенский собор,"religion,churches,interesting_places,other_churches",55.386639,43.813374,,
подворье Воскресенского собора,"religion,churches,interesting_places,other_churches",55.386227,43.812805,,
Нижегородский кремль,"fortifications,historic,historical_places,cultural,museums,interesting_places,historic_districts,history_museums,kremlins",56.328667,44.002522,,
Нижегородская соборная мечеть,"religion,mosques,interesting_places",56.323444,44.037556,,
Церковь Богоявления Господня,"religion,other_temples,interesting_places",55.386059,43.814648,,
Нижегородский кремль,"fortifications,historic,historical_places,cultural,museums,interesting_places,historic_districts,other_museums,kremlins",56.328033,44.002106,,
Домик Каширина,"cultural,museums,interesting_places,other_museums",56.323921,43.990692,,
Автозаводский парк культуры и отдыха,"urban_environment,gardens_and_parks,cultural,interesting_places",56.23904,43.854343,,
Собор Александра Невского,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",56.333679,43.971439,,
Собор Архангела Михаила,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",56.328293,44.001873,,
Иверский монастырь,"religion,monasteries,interesting_places",55.325119,42.208569,,
Серафимо-Дивеевский монастырь,"religion,monasteries,interesting_places",55.040611,43.248058,,
Подвязье,"historic,historical_places,interesting_places,historic_settlements",56.164501,43.348019,,
Подвязье,"historic,historical_places,interesting_places,historic_settlements",56.165646,43.34901,,
"Церковь иконы Божьей матери ""Живоносный источник""","religion,churches,interesting_places,other_churches",55.387253,43.813492,,
Арзамасский филиал ННГУ им. Лобачевского,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",55.392673,43.821266,,
"Церковь Софии, Премудрости Божией","religion,churches,interesting_places,other_churches",56.06292,43.861698,,
Церковь в честь Рождества Богородицы,"religion,churches,interesting_places,other_churches",56.209595,43.755871,,
Спасо-преображенская церковь,"religion,churches,interesting_places,other_churches",56.256714,43.933346,,
